user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned,Name,Favorite_Music,Password,JoinDate,ModifyDate,Grade
1,Female,54,CA,Free,26,23,0.2,Desktop,31,0,1,Daniel K. Thompson,Rock,Password123!,2018-08-19,2019-06-25,01
2,Other,33,DE,Family,141,62,0.34,Web,0,1,0,Lucas H. Garcia,Blues,Password123!,2022-03-10,2022-10-24,01
3,Male,38,AU,Premium,199,38,0.04,Mobile,0,1,1,Jacob X. Jones,Soul,Password123!,2019-12-19,2021-01-22,01
4,Female,22,CA,Student,36,2,0.31,Mobile,0,1,0,Henry L. Clark,Folk,Password123!,2024-10-20,2025-01-03,01
5,Other,29,US,Family,250,57,0.36,Mobile,0,1,1,Alexander J. Thompson,Jazz,Password123!,2021-10-08,2022-07-29,01
6,Female,17,AU,Free,219,35,0.46,Desktop,13,0,0,Jacob Q. Davis,House,Password123!,2024-12-30,2025-09-03,01
7,Female,39,UK,Premium,289,44,0.38,Desktop,0,1,0,Logan W. Lewis,Soul,Password123!,2019-05-05,2019-12-26,01
8,Female,41,UK,Free,210,68,0.11,Mobile,5,0,0,Levi X. Robinson,Jazz,Password123!,2022-07-04,2022-12-10,01
9,Other,55,DE,Student,50,66,0.29,Web,0,1,0,Liam P. Miller,Reggae,Password123!,2018-08-13,2018-11-18,01
10,Male,44,DE,Free,278,94,0.38,Mobile,44,0,0,Levi I. Brown,Blues,Password123!,2023-12-11,2023-12-21,01
11,Other,33,DE,Free,86,44,0.11,Web,37,0,0,Levi I. Lopez,Metal,Password123!,2024-01-25,2024-06-04,01
12,Other,24,CA,Free,113,24,0.56,Desktop,39,0,1,John X. Lee,Pop,Password123!,2024-11-02,2024-11-28,01
13,Female,37,IN,Family,24,86,0.11,Desktop,0,1,0,Jackson V. Taylor,Reggae,Password123!,2020-11-12,2021-10-22,01
